branch_name,address,city,branch_code
ABCORP CENTRAL CORPRBB,ABSA TOWERS WEST,GAUTENG,630077
ABCORP ECAPE CORPRBB,ABSA TOWERS WEST,GAUTENG,630081
ABCORP GAU B,11 DIAGONAL STREET,GAUTENG,630971
ABCORP GAU C,11 DIAGONAL STREET,GAUTENG,630964
ABCORP GAU MNC B,11 DIAGONAL STREET,GAUTENG,630972
ABCORP GAU MNC C,11 DIAGONAL STREET,GAUTENG,630965
ABCORP GAUTENG RBB,4TH FLOOR ABSA TOWERS WEST,GAUTENG,631001
ABCORP HO B,11 DIAGONAL STREET,GAUTENG,630963
ABCORP HO C,11 DIAGONAL STREET,GAUTENG,630970
ABCORP IFI B,11 DIAGONAL STREET,GAUTENG,630961
ABCORP IFI C,11 DIAGONAL STREET,GAUTENG,630968
ABCORP INLAND 1,PODIUM FLOOR,GAUTENG,630497
ABCORP INLAND 1 CORPORATE ACC,PODIUM FLOOR,GAUTENG,630499
ABCORP INLANDS 1 RBB,4TH FLOOR ABSA TOWERS WEST,GAUTENG,630752
ABCORP INLANDS 2 RBB,4TH FLOOR ABSA TOWERS WEST,GAUTENG,630098
ABCORP INLANDS 3 PUBLIC RBB,4TH FLOOR ABSA TOWERS WEST,GAUTENG,630799
ABCORP INLANDS 4 RBB PUBLIC,4TH FLOOR ABSA TOWERS WEST,GAUTENG,630854
ABCORP INLANDS 5 RBB,4TH FLOOR ABSA TOWERS WEST,GAUTENG,630890
ABCORP KZN B,4 FROSTERLEY PARK,DURBAN,630973
ABCORP KZN C,4 FROSTERLEY PARK,"DURBAN , KWAZULU NATAL",630966
ABCORP KZN RBB,4TH FLOOR ABSA TOWERS WEST,GAUTENG,630323
ABCORP LIMPOPO CORPRBB,ABSA TOWERS WEST,GAUTENG,630076
ABCORP MPUMALA CORPRBB,ABSA TOWERS WEST,GAUTENG,630080
ABCORP NCAPE CORPRBB,ABSA TOWERS WEST,GAUTENG,630078
ABCORP NWEST CORPRBB,ABSA TOWERS WEST,GAUTENG,630079
ABCORP PS B,11 DIAGONAL STREET,GAUTENG,630962
ABCORP PS C,11 DIAGONAL STREET,GAUTENG,630969
ABCORP WCAPE CORP RBB,4TH FLOOR ABSA TOWERS WEST,GAUTENG,630727
ABCORPINLAND 1 PUBLIC SECTOR,PODUIM FLOOR,GAUTENG,630498
"ABERDEEN,K.P.",H/V HOOP EN VOORTREKKERSTRAAT,,334116
ABSA BANK CARD DIVISION,13THFLOOR VOLKSKAS BUILDING CN,,633745
ABSA BR.FOR SECURITIES 1 MILL,136 PLANA RD,,637155
ABSA BUSINESS CENTRE EASTGATE,"1ST AND 2ND FLOOR , BLOCK D , EASTGATE OFFICE",JOHANNESBURG,335642
ABSA BUTTERWORTH,ABSA BANK BUILDING,EASTERN CAPE,630561
ABSA CAPITAL 1,160 MAIN STREET,"JOHANNESBURG, GAUTENG",630449
ABSA CAPITAL 2,160 MAIN STREET,"JOHANNESBURG, GAUTENG",630447
ABSA CAPITAL 3,160 MAIN STREET,"JOHANNESBURG, GAUTENG",630446
ABSA CHARGEBACKS,VOLKSKAS BUILDING,GAUTENG,630570
ABSA CORPORATE HEAD OFFICE,31 ST FLOOR SANLAM CENTRE CNR JEPPE &,,636155
ABSA DIRECT E-BRCH KASTEEL PRK,ORANGE BUILDING CNR NOSSOB & JOCHENIS STR,,631645
ABSA DIRECT E-BRH AUCKLAND PRK,CURATIO BUILDING 3 ANETT ROAD,,634405
ABSA ELECTRONIC SETTLEMENT CNT,11 TRUMP STREET SELBY,,632005
ABSA FIN BRACKEN HEIGHTS T/SHP,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,632655
ABSA FINANCE ACE CONTROL,BLOCK 6 WOODMEAD ESTATE 1 WOODMEAD DRIVE,,635955
ABSA FINANCE ALGOA & EAST DEV,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,631955
ABSA FINANCE BAUSPROP INV,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,631055
ABSA FINANCE BERLITAS CORP,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,633655
ABSA FINANCE BERLITAS INSTALL,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,634555
ABSA FINANCE BERLITAS LEASING,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,633555
ABSA FINANCE BEVERLEY HIGHT HD,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,631655
ABSA FINANCE E MCDONALD,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,633455
ABSA FINANCE EAST GRIQUALAND,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,630755
ABSA FINANCE GURA INV,3RD FLOOR ABSA TOWERS EAST . 170 MAIN ST.,,630955
ABSA FINANCE HENDLER & HENDLER,3RD FLOOR ATE 170 MAIN STREET,,637255
ABSA FINANCE INDUSTRIAL CONF,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,634355
ABSA FINANCE KEMPTON PARK IND,3RD FLOOR ABSA TOWERS EAST . 170 MAIN ST.,,631355
ABSA FINANCE KOLEKTOR,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,631755
ABSA FINANCE LAEVELD INPAK,3RD FLOOR ABSA TOWERS EAST 170 MAIN ST.,,630555
ABSA FINANCE LCH PROJECTS,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,632855
ABSA FINANCE LEECON BUILDING,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,632355
ABSA FINANCE LIBERTAS ADNIM,3RD FLOOR ABSA TOWERS EAST . 170 MAIN ST.,,630655
ABSA FINANCE LIBERTAS CONS,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,633955
ABSA FINANCE LIBERTAS CORP,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,632455
ABSA FINANCE LIBERTAS INSTALL,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,634455
ABSA FINANCE LIBERTAS MAN,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,632955
ABSA FINANCE LIBERTAS VEHICLE,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,633255
ABSA FINANCE LIBERTUS INV,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,633055
ABSA FINANCE LIBETAS LEASING,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,633855
ABSA FINANCE MERCIPLEX,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,634255
ABSA FINANCE MILLCOR,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,633155
ABSA FINANCE MIOBLORE,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,634055
ABSA FINANCE MONKOR TRUST,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,631555
ABSA FINANCE OU SKIP,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,632155
ABSA FINANCE PLANELANDS,3RD FLOOR ABSA TOWERS EAST,,636555
ABSA FINANCE PRIVASSURED P/FND,3RD FLOOR ABSA TOWERS EAST . 170 MAIN ST.,,631155
ABSA FINANCE PRO REN PROP,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,632755
ABSA FINANCE SANDYGRAY CONST,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,632555
ABSA FINANCE SHARON VILLAGE,3RD FLOOR ABSA TOWERS EAST . 170 MAIN,,630455
ABSA FINANCE SILA BRICKYARDS,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,631455
ABSA FINANCE SOMETOLE PROP,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,632055
ABSA FINANCE SOMMERING INV,3RD FLOOR ABSA TOWERS EAST . 170 MAIN ST,,630855
ABSA FINANCE TAXICO,3RD FLOOR ABSA TOWERS EAST. 170MAIN ST.,,632255
ABSA FINANCE UNIFURN,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,633355
ABSA FINANCE VEHICLE TRADING,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,633755
ABSA FINANCE VENDU,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,634155
ABSA FINANCE VOEWSITE DEV,3RD FLOOR ABSA TOWERS EAST. 170 MAIN ST.,,631255
ABSA FINANCE WITPROP,3RD FLOOR ABSA TOWERS EAST. 170MAIN ST.,,631855
ABSA HORISON,CNR CRANE & ONTDEKKERS,,630841
ABSA INTERNAS DIENSSEN PTA,VOLKSKASSENTRUM VAN DER WALTST,,336545
ABSA INTERNASIONALE DIENSSENT,NATAL PODIUM LEVEL 85 FIELDSTR,,334626
ABSA INTERNAT BANK CORP CAPE,"13TH FLOOR,SANLAM GOLDEN ACRE",,634709
ABSA INTERNAT BANK CORP N/TVL,"21ST FLOOR,VOLKSKAS BUILDING",,636645
ABSA INTERNAT BANK CORP NATAL,18TH FLOOR THE MARINE,,634726
ABSA INTERNAT BANKING COMMERCI,KEMPTON PARK CENTRE CNR MONUME,,638442
ABSA INTERNAT BANKING COMMERCI,24B DEVERAH AVE VINCENT,,639021
ABSA INTERNATIONAL BANKING COM,31ST FLOOR VOLKSKAS CENTRE,"PRETORIA , GAUTENG",639845
ABSA INTERNATIONAL BANKING COM,PIETERSBURG CENTRE,,339948
ABSA INTERNATIONAL BANKING COM,NELSPRUIT CENTRE,,634952
ABSA INTERNATIONAL BANKING COM,ABSA PRO HEAD OFFICE CNR ZASTRON & DONALD,,639534
ABSA JHB CENTRAL LEDGERS DEPOT,4TH FLOOR CENTRO CITY BUILDING,,631605
ABSA KIMBERLEY,80 BULTFONTEIN RD,,500902
ABSA KORPORATIEWE BANKDIENSTE,KAAPSTAD STREEK 30STE EN 31 ST,,314199
ABSA MOUNTAIN CUP,170 MAIN STREET,GAUTENG,630873
ABSA NASS CENTRO A,CENTRO CITY TRUMPSTRAAT 11,,335805
ABSA NATIONAL ADMIN CENTRE,4TH FLOOR CENTRO CITY BUILDING,,632605
ABSA PE REGIONAL ATM SERV CENT,4 ALGOA STREET SYDENHAM,,634817
ABSA PHILLIPI,"SHOPRITE CENTRE , SHOP 8 & 9",WESTERN CAPE,630216
ABSA PRETORIA CENT.LEDGERS DEP,****** FOR INTERNAL USE ONLY,,336845
ABSA PRETORIA CENTR LEDGER DEP,PRETORIUS STREET 421 PRETORI,,630845
ABSA PRIVATE BANK CENTRAL SUPP,BLOCK A. 65 EMPIRE ROAD,,330955
ABSA PRIVATE BANK FAMILY OFFIC,BELVEDERE OFFICE PARK CNR BELLA ROSA & PASISTA,,631010
ABSA PRIVATE BANK PARKTOWN S/T,65 EMPIRE ROAD PARK TOWM,,330755
ABSA PRIVATE BANK PRETORIA,BLOCK D. GROUND FLOOR BROOKLUN GARDENS,,631145
ABSA RBA JOINT FUND,11 DIAGONAL STREET,GAUTENG,630875
ABSA SAABIE,MAIN ROAD,MPUMALANGA,630920
ABSA STUDENT BRANCH - KZN,76 BRAND ROAD,"DURBAN , KWA-ZULU NATAL",631726
ABSA STUDENT BRANCH PRETORIA,KPMG BUILDING HILDA ST.HATFIELD,,631545
ABSA TAS SENTRUM PRETORIA,CURATOR GEBOU PRETORIUS STRAAT 421,,336245
ABSA TOWERS NORTH,CNR COMMISSIONER & TROY,,630305
ABSA UNIFORM LOANS,BLOCK F FLORA PARK,"JOHANNESBURG , GAUTENG",630189
ABSA VOSTRO,"ABSA TOWERS NORTH,180 COMMISIONER STREET",GAUTENG,337005
ABSA-INTERNAT BANKING COMMERCI,PORT ELIZABETH CENTRE 61 MAIN,,338917
ABSA-INTERNAT BANKING COMMERCI,CAPE TOWN CENTRE 30TH FLOOR,,338709
AC & BB CUSTOMER SERV CEN KZN,OFFICE ESTATE LA LUCIA,"DURBAN NORTH, KWA-ZULU NATAL",630554
AC & BB SERV CEN CAPE TOWN,TIJGER PARK 4 1ST FLOOR,"BELLVILLE , WESTERN CAPE",630558
ACBBMNC,ABSA TOWERS NORTH,GAUTENG,630937
ACM CORPORATE GAUTENG REGION,"9TH FLOOR, 11 DIAGONAL STREET",GAUTENG,630090
ACM LARGE PUBLIC SECTOR PTA,"BLOCK G, HILLCREST OFFICE PARK",GAUTENG,630091
ACORNHOEK,ACORNHOEK PLAZA SHOP 55,NELSPRUIT,630264
"ADELAIDE,K.P.",H/V WELSH EN KERKSTRATE,,334119
ADMIN FOX STREET,CENTRO CITY 11 TRUMP STREET,,524005
ADMIN FOX STREET,"CENTRO CITY, 11 TRUMP STREET",,335305
ADMINISTRATION CENTRE POLOKWAN,100 LANDROS MARE STREET,,624548
AFRICA AGENCY,15 ALLICE LANE,GAUTENG,630900
AFRICA CORP LEV FIN,15 ALLICE LANE,GAUTENG,630899
AFRICA CORPORATE DEBT,15 ALLICE LANE,GAUTENG,630896
AFRICA EASTGATE,11 DIAGONAL STREET,GAUTENG,630990
AFRICA PROJ FIN ADVISES,15 ALLICE LANE,GAUTENG,630897
AFRICA STRUCT EQ FINANCE,15 ALLICE LANE,GAUTENG,630898
AFS LIMITED,ABSA TOWERS NORTH,GAUTENG,630377
AGATHA STREET TZANEEN,ABSA BUILDING DANIE JOUBERT STREET,,334349
AHL MORTGAGE LOAN TEMP RES,ABSA BUILDING,CAPE TOWN,630100
AHL PROPERTY IN POSSESSION,HOSKINS HOUSE,GAUTENG,630628
ALAMEIN ROAD,SOUTHDALE SHOPPING CENTRE,GAUTENG,630796
"ALBERNIA ST, GEORGE",106 YORK STREET GEORGE,,420214
ALBERT STREET DURBAN,"OFFICE 2, FIRST FLOOR",,630926
"ALBERTINIA,K.P.",HOOFSTRAAT 48,,334113
ALBERTON 8083,"UNITED BLDG,24 VOORTREKKER STREET",,631142
ALBERTON LOAN CENTRE,ALBERTON CITY REGIONAL SHOPPING CENTRE,GAUTENG,630808
ALEXANDRA,ALEXANDRA PLAZA,"SANDTON , GAUTENG",630579
"ALEXANDRIA,K.P.",H/V VOORTREKKER EN KROGSTRAAT,,334117
ALIWAL NORTH DEMOUNTABLE,ERF 118 BANK STREET,NORTHERN CAPE,630804
"ALIWAL-NOORD,K.P.",SOMERSETSTR 47,,334120
ALKANTRANT,SHOP 51 GLENFAIR CENTRE,"MENLO PARK , GAUTENG",630662
ALL PAY EAST LONDON,31 PHILLIP FRAME ROAD,EAST LONDON,630388
ALL PAY PENISULA,KHULANI SPRINGBOK PATROLS BUILDING GROUND FLOOR,WESTERN CAPE,630385
ALLDAY GAUTENG EAST BHENKA,98 WOBURN AVENUE,GAUTENG,630179
ALLPAY BLOEMFONTEIN,19 BENNIE MARAIS STREET,FREE STATE,630389
ALLPAY EAST LONDON BHENKA,"31 PHILLIP FRAME ROAD ,",EAST LONDON,630175
ALLPAY GAUTENG EAST,98 WOBURN AVENUE,GAUTENG,630354
ALLPAY GAUTENG NORTH BHENKA,"ABSA BUILDING , 4TH FLOOR , CNR ANDRIES &",PRETORIA,630170
ALLPAY GAUTENG NORTH BHENKA,"ABSA BUILDING , CNR ANDRIES & PRETORUIS STREETS","PRETORIA , GAUTENG",630174
ALLPAY GAUTENG SOUTH BHENKA,"ABSA KRUGER , 24 VOORTREKKER STREET","VEREENIGING , GAUTENG",630180
ALLPAY GAUTENG WEST,OLD UNITED BUILDING,GAUTENG,630393
ALLPAY GAUTENG WEST BHENKA,"OLD UNITED BUILDING , CNR KROON & VAN WYK STREET","JOHANNESBURG , GAUTENG",630178
ALLPAY GEORGE,HIBERNIA MALL,WESTERN CAPE,630384
ALLPAY PE BHENKA,"UNITS 2,3,4, LOCKEED & CARRAVELLE ROADS",PORT ELIZABETH,630176
ALLPAY QUEENSTOWN,40 FACTORY ROAD,EASTERN CAPE,630394
ALLPAY QUEENSTOWN BHENKA,40 FACTORY ROAD,,630177
ALLPAY QWA QWA,VAN DER MERWE STREET,FREE STATE,630392
ALLPAY VREDENDAL,31 CHURCH STREET,WESTERN CAPE,630387
ALLPAY WORCESTER,77A RIEBEEK STREET,WESTERN CAPE,630386
AMANZIMTOTI,"ALLIED BUILDING , 25 COMMERCIA",,420027
AMOMENTUM PLATINUM,VOLKSKAS BUILDING,GAUTENG,630568
ANDERSON STREET KLERKSDORP8031,UNITED BUILDING CNR ANDERSON &,,630138
ANDRIES STREET PRETORIA 8013,10TH FLOOR VOLKSKAS CENTRE,PRETORIA,630145
APEL,BOPEDI SHOPPING CENTRE,PIETERSBURG,630530
"ARCADIA,PTA*",KINGSLEY SHOPPING CENTRE C/O BEATRIX CHURCH STR,,334945
